DATA_EXIBICAO,TITULO_ORIGINAL,TITULO_BRASIL,CPB_ROE,PAIS_OBRA,REGISTRO_SALA,NOME_SALA,PUBLICO,REGISTRO_GRUPO_EXIBIDOR,REGISTRO_EXIBIDOR,REGISTRO_COMPLEXO,MUNICIPIO_SALA_COMPLEXO,UF_SALA_COMPLEXO,RAZAO_SOCIAL_DISTRIBUIDORA,CNPJ_DISTRIBUIDORA,NR_PROTOCOLO_ENVIO,DATA_HORA_ENVIO_PROTOCOLO
01/10/2024,PENAL CORDILLERA,,B2400212800000,CHILE,5003447,CINE CULTURA LIBERTY MALL 02,3,,4932,20963,BRASÍLIA,DF,RETRATO FILMES LTDA,31.296.141/0001-27,204085379000424,16/10/2024 09:57:18
01/10/2024,PENAL CORDILLERA,,B2400212800000,CHILE,5007160,CINESYSTEM BOTAFOGO SALA 01,4,6000027.0,22546,58568,RIO DE JANEIRO,RJ,RETRATO FILMES LTDA,31.296.141/0001-27,204085379000424,16/10/2024 09:57:18
01/10/2024,PENAL CORDILLERA,,B2400212800000,CHILE,5007142,CINESYSTEM FREI CANECA SALA 01,5,6000027.0,22546,58566,SÃO PAULO,SP,RETRATO FILMES LTDA,31.296.141/0001-27,204085379000424,16/10/2024 09:57:18
01/10/2024,PENAL CORDILLERA,,B2400212800000,CHILE,5005314,ESPAÇO ITAÚ DE CINEMA AUGUSTA - SALA 5 (ANEXO),3,6000029.0,1944,31112,SÃO PAULO,SP,RETRATO FILMES LTDA,31.296.141/0001-27,204085379000424,16/10/2024 09:57:18
01/10/2024,PENAL CORDILLERA,,B2400212800000,CHILE,5000069,KINOPLEX ITAIM 1,3,6000037.0,1994,2391,SÃO PAULO,SP,RETRATO FILMES LTDA,31.296.141/0001-27,204085379000424,16/10/2024 09:57:18
01/10/2024,PENAL CORDILLERA,,B2400212800000,CHILE,5004569,SALA CINE ARTE PAJUÇARA 01,10,,26591,26593,MACEIÓ,AL,RETRATO FILMES LTDA,31.296.141/0001-27,204085379000424,16/10/2024 09:57:18
01/10/2024,PENAL CORDILLERA,,B2400212800000,CHILE,5004448,SALA MACEIO 01,1,6000027.0,22546,25512,MACEIÓ,AL,RETRATO FILMES LTDA,31.296.141/0001-27,204085379000424,16/10/2024 09:57:18
02/10/2024,PENAL CORDILLERA,,B2400212800000,CHILE,5003447,CINE CULTURA LIBERTY MALL 02,5,,4932,20963,BRASÍLIA,DF,RETRATO FILMES LTDA,31.296.141/0001-27,204085379000424,16/10/2024 09:57:18
02/10/2024,PENAL CORDILLERA,,B2400212800000,CHILE,5007160,CINESYSTEM BOTAFOGO SALA 01,14,6000027.0,22546,58568,RIO DE JANEIRO,RJ,RETRATO FILMES LTDA,31.296.141/0001-27,204085379000424,16/10/2024 09:57:18
02/10/2024,PENAL CORDILLERA,,B2400212800000,CHILE,5007142,CINESYSTEM FREI CANECA SALA 01,6,6000027.0,22546,58566,SÃO PAULO,SP,RETRATO FILMES LTDA,31.296.141/0001-27,204085379000424,16/10/2024 09:57:18
02/10/2024,PENAL CORDILLERA,,B2400212800000,CHILE,5005314,ESPAÇO ITAÚ DE CINEMA AUGUSTA - SALA 5 (ANEXO),2,6000029.0,1944,31112,SÃO PAULO,SP,RETRATO FILMES LTDA,31.296.141/0001-27,204085379000424,16/10/2024 09:57:18
02/10/2024,PENAL CORDILLERA,,B2400212800000,CHILE,5000069,KINOPLEX ITAIM 1,2,6000037.0,1994,2391,SÃO PAULO,SP,RETRATO FILMES LTDA,31.296.141/0001-27,204085379000424,16/10/2024 09:57:18
02/10/2024,PENAL CORDILLERA,,B2400212800000,CHILE,5004448,SALA MACEIO 01,5,6000027.0,22546,25512,MACEIÓ,AL,RETRATO FILMES LTDA,31.296.141/0001-27,204085379000424,16/10/2024 09:57:18
03/10/2024,PENAL CORDILLERA,,B2400212800000,CHILE,5007151,CINESYSTEM BRASILIA SALA 01,9,6000027.0,22546,58567,BRASÍLIA,DF,RETRATO FILMES LTDA,31.296.141/0001-27,204085379000424,16/10/2024 09:57:18
03/10/2024,PENAL CORDILLERA,,B2400212800000,CHILE,5004429,SALA DRAGÃO DO MAR 01,4,,25385,25387,FORTALEZA,CE,RETRATO FILMES LTDA,31.296.141/0001-27,204085379000424,16/10/2024 09:57:18
03/10/2024,PENAL CORDILLERA,,B2400212800000,CHILE,5006824,SALA KINOPLEX LEBLON GLOBOPLAY 1,2,6000037.0,1991,51461,RIO DE JANEIRO,RJ,RETRATO FILMES LTDA,31.296.141/0001-27,204085379000424,16/10/2024 09:57:18
04/10/2024,PENAL CORDILLERA,,B2400212800000,CHILE,5007151,CINESYSTEM BRASILIA SALA 01,5,6000027.0,22546,58567,BRASÍLIA,DF,RETRATO FILMES LTDA,31.296.141/0001-27,204085379000424,16/10/2024 09:57:18
04/10/2024,PENAL CORDILLERA,,B2400212800000,CHILE,5007142,CINESYSTEM FREI CANECA SALA 01,6,6000027.0,22546,58566,SÃO PAULO,SP,RETRATO FILMES LTDA,31.296.141/0001-27,204085379000424,16/10/2024 09:57:18
