TITULO_ORIGINAL,TITULO_BRASIL,RAZAO_SOCIAL_DISTRIBUIDORA,PAIS_OBRA,PUBLICO,ANO
""" A PRIMEIRA MISSA""",,PROVIDENCE DISTRIBUIDORA DE FILMES LTDA - EPP,BRASIL,583,"2014, 2015"
"""EL HOMBRE QUE CUIDA""",,ESFERA PRODUÇÕES CULTURAIS EIRELI,BRASIL,491,2019
#GAROTAS,,SM DISTRIBUIDORA DE FILMES LTDA,BRASIL,980,2015
#SCREAMERS,#SCREAMERS,CINEMATOGRÁFICA DISTRIBUIDORA DE FILMES LTDA,ESTADOS UNIDOS,723,2017
10 CENTAVOS PARA O NÚMERO DA BESTA,,PONTO DE EQUILIBRIO EVENTOS E IMAGEM EIRELI,BRASIL,76,2017
10 CLOVERFIELD LANE,"RUA CLOVERFIELD, 10",PARAMOUNT PICTURES BRASIL DISTRIBUIDORA DE FILMES LTDA,ESTADOS UNIDOS,324587,2016
10 HORAS PARA O NATAL,,SM DISTRIBUIDORA DE FILMES LTDA,BRASIL,31313,"2020, 2021"
10 LIVES,UM GATO DE SORTE,SM DISTRIBUIDORA DE FILMES LTDA,REINO UNIDO,53319,2024
10 SEGUNDOS PARA VENCER,,WMIX DISTRIBUIDORA LTDA.,BRASIL,49147,2018
12 DE JUNHO DE 1993 ¿ O DIA PAIXÃO PALMEIRENSE,,ELO AUDIOVISUAL SERVIÇOS LTDA,BRASIL,1236,2014
12 STRONG,12 HERÓIS,DIAMOND FILMS DO BRASIL PRODUÇÃO E DISTRIBUIÇÃO AUDIOVISUAL LTDA.,ESTADOS UNIDOS,30930,2018
12 YEARS A SLAVE,12 ANOS DE ESCRAVIDÃO,THE WALT DISNEY COMPANY (BRASIL) LTDA.,ESTADOS UNIDOS,504800,"2014, 2015"
120 BATTEMENTS PAR MINUTE,120 BATIMENTOS POR MINUTO,TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA,FRANÇA,16957,"2017, 2018, 2019"
13 EXORCISMOS,13 EXORCISMOS,DIAMOND FILMS DO BRASIL PRODUÇÃO E DISTRIBUIÇÃO AUDIOVISUAL LTDA.,ESPANHA,117782,2023
