TITULO_ORIGINAL,CPB,DATA_EMISSAO_CPB,SITUACAO_OBRA,PART_PATRIMONIAL_BRASILEIRA,ACORDO_COPRODUCAO
""" A PRIMEIRA MISSA""",B1301902100000,31/07/2013,DEFERIDO,MAJORITÁRIA,ACORDO DE COPRODUÇÃO CINEMATOGRÁFICA ENTRE OS GOVERNOS DA REPÚBLICA FEDERATIVA DO BRASIL E DA REPÚBLICA PORTUGUESA
"""EL HOMBRE QUE CUIDA""",B1800115900000,14/03/2018,DEFERIDO,MINORITÁRIA,ACORDO LATINO-AMERICANO DE COPRODUÇÃO CINEMATOGRÁFICA
1968 - O DESPERTAR,B1900050000000,01/02/2019,DEFERIDO,MINORITÁRIA,ACORDO DE COPRODUÇÃO CINEMATOGRÁFICA BRASIL-ALEMANHA
200 GRAUS,B1600679000000,11/10/2016,DEFERIDO,MAJORITÁRIA,
31 MINUTOS,B1201568300000,12/03/2012,DEFERIDO,MINORITÁRIA,AJUSTE COMPLEMENTAR ENTRE O GOVERNO DA REPÚBLICA FEDERATIVA DO BRASIL E O GOVERNO DA REPÚBLICA DO CHILE NO ÂMBITO DA COOPERAÇÃO E DA COPRODUÇÃO CINEMATOGRÁFICA
5 CASAS,B2000263300000,02/07/2020,DEFERIDO,MAJORITÁRIA,ACORDO DE COPRODUÇÃO CINEMATOGRÁFICA BRASIL-ALEMANHA
7 PRISIONEIROS,B2100436200000,08/10/2021,DEFERIDO,MAJORITÁRIA,
A ALMA QUER VOAR,B2100203300000,18/05/2021,DEFERIDO,MINORITÁRIA,ACORDO LATINO-AMERICANO DE COPRODUÇÃO CINEMATOGRÁFICA
A BARQUEIRA,B2000556700000,28/12/2020,DEFERIDO,MINORITÁRIA,ACORDO LATINO-AMERICANO DE COPRODUÇÃO CINEMATOGRÁFICA
A BELA AMÉRICA,B2300454300000,17/10/2023,DEFERIDO,MINORITÁRIA,ACORDO DE COPRODUÇÃO CINEMATOGRÁFICA ENTRE OS GOVERNOS DA REPÚBLICA FEDERATIVA DO BRASIL E DA REPÚBLICA PORTUGUESA
A CASA VERDE,B0901007400000,16/04/2009,DEFERIDO,MAJORITÁRIA,ACORDO DE COPRODUÇÃO CINEMATOGRÁFICA ENTRE O GOVERNO DA REPÚBLICA FEDERATIVA DO BRASIL E O GOVERNO DA REPÚBLICA ARGENTINA
A CIDADE ONDE ENVELHEÇO,B1600181500000,15/03/2016,DEFERIDO,MAJORITÁRIA,ACORDO DE COPRODUÇÃO CINEMATOGRÁFICA ENTRE OS GOVERNOS DA REPÚBLICA FEDERATIVA DO BRASIL E DA REPÚBLICA PORTUGUESA
A COLEÇÃO INVISÍVEL,B1201666700000,08/10/2012,DEFERIDO,MAJORITÁRIA,
A ESTAÇÃO,B2300257900000,27/06/2023,DEFERIDO,MAJORITÁRIA,ACORDO LATINO-AMERICANO DE COPRODUÇÃO CINEMATOGRÁFICA
A ESTRADA 47,B1402125800000,17/03/2014,DEFERIDO,MAJORITÁRIA,ACORDO DE COPRODUÇÃO CINEMATOGRÁFICA ENTRE OS GOVERNOS DA REPÚBLICA FEDERATIVA DO BRASIL E DA REPÚBLICA PORTUGUESA
A FAMÍLIA SUBMERSA,B1800358900000,08/08/2018,DEFERIDO,MINORITÁRIA,ACORDO LATINO-AMERICANO DE COPRODUÇÃO CINEMATOGRÁFICA
A FEBRE,B1900486200000,30/09/2019,DEFERIDO,MAJORITÁRIA,ACORDO DE COPRODUÇÃO CINEMATOGRÁFICA ENTRE O GOVERNO DA REPÚBLICA FEDERATIVA DO BRASIL E O GOVERNO DA REPÚBLICA FRANCESA
A FESTA DA MENINA MORTA,B0800866000000,09/05/2008,DEFERIDO,MAJORITÁRIA,ACORDO LATINO-AMERICANO DE COPRODUÇÃO CINEMATOGRÁFICA
A FLOR DO BURITI,B2300570500000,20/12/2023,DEFERIDO,MINORITÁRIA,ACORDO DE COPRODUÇÃO CINEMATOGRÁFICA ENTRE OS GOVERNOS DA REPÚBLICA FEDERATIVA DO BRASIL E DA REPÚBLICA PORTUGUESA
A FLORESTA QUE SE MOVE,B1500591500000,31/07/2015,DEFERIDO,MAJORITÁRIA,
A HISTÓRIA DO MEU NOME,B2000184900000,11/05/2020,DEFERIDO,MINORITÁRIA,AJUSTE COMPLEMENTAR ENTRE O GOVERNO DA REPÚBLICA FEDERATIVA DO BRASIL E O GOVERNO DA REPÚBLICA DO CHILE NO ÂMBITO DA COOPERAÇÃO E DA COPRODUÇÃO CINEMATOGRÁFICA
A ILHA DA MORTE,B0700701800000,14/06/2007,DEFERIDO,MAJORITÁRIA,ACORDO LATINO-AMERICANO DE COPRODUÇÃO CINEMATOGRÁFICA
A JORNADA DE MARIA,B1800596800000,13/12/2018,DEFERIDO,MINORITÁRIA,
A MULHER DO MEU MARIDO,B1800089700000,28/02/2018,DEFERIDO,MAJORITÁRIA,ACORDO LATINO-AMERICANO DE COPRODUÇÃO CINEMATOGRÁFICA
A NAÇÃO QUE NÃO ESPEROU POR DEUS,B1500105700000,02/02/2015,DEFERIDO,MAJORITÁRIA,ACORDO DE COPRODUÇÃO CINEMATOGRÁFICA ENTRE OS GOVERNOS DA REPÚBLICA FEDERATIVA DO BRASIL E DA REPÚBLICA PORTUGUESA
A OESTE DO FIM DO MUNDO,B1301910400000,06/08/2013,DEFERIDO,MAJORITÁRIA,ACORDO LATINO-AMERICANO DE COPRODUÇÃO CINEMATOGRÁFICA
A OUTRA MARGEM,B0700764700000,19/09/2007,DEFERIDO,MINORITÁRIA,ACORDO DE COPRODUÇÃO CINEMATOGRÁFICA ENTRE OS GOVERNOS DA REPÚBLICA FEDERATIVA DO BRASIL E DA REPÚBLICA PORTUGUESA
A OUTRA PELE,B2000043400000,05/02/2020,DEFERIDO,MINORITÁRIA,ACORDO LATINO-AMERICANO DE COPRODUÇÃO CINEMATOGRÁFICA
A PELADA,B1302034700000,05/12/2013,DEFERIDO,MINORITÁRIA,
A QUEDA DO CÉU - HUTOMOSI KERAYUWI,B2400446000000,30/10/2024,DEFERIDO,MAJORITÁRIA,ACORDO DE COPRODUÇÃO CINEMATOGRÁFICA ENTRE O GOVERNO DA REPÚBLICA FEDERATIVA DO BRASIL E O GOVERNO DA REPÚBLICA ITALIANA E TROCA DE NOTAS
"A RUA, A MÚSICA",B1700604900000,12/12/2017,DEFERIDO,MAJORITÁRIA,
A SORTE EM SUAS MÃOS,B1301971700000,26/09/2013,DEFERIDO,MINORITÁRIA,ACORDO LATINO-AMERICANO DE COPRODUÇÃO CINEMATOGRÁFICA
A TERRA VERMELHA,B1600439400000,07/07/2016,DEFERIDO,MINORITÁRIA,ACORDO LATINO-AMERICANO DE COPRODUÇÃO CINEMATOGRÁFICA
A TROPA DE TRAPO - NA SELVA DO ARCO-ÍRIS,B1800131200000,27/03/2018,DEFERIDO,MINORITÁRIA,ACORDO LATINO-AMERICANO DE COPRODUÇÃO CINEMATOGRÁFICA
A VERSÃO DE ANITA,B2300427200000,29/09/2023,DEFERIDO,MINORITÁRIA,ACORDO DE COPRODUÇÃO CINEMATOGRÁFICA ENTRE O GOVERNO DA REPÚBLICA FEDERATIVA DO BRASIL E O GOVERNO DA REPÚBLICA ITALIANA E TROCA DE NOTAS
A VIAGEM DE PEDRO,B2100263400000,21/06/2021,DEFERIDO,MAJORITÁRIA,ACORDO DE COPRODUÇÃO CINEMATOGRÁFICA ENTRE OS GOVERNOS DA REPÚBLICA FEDERATIVA DO BRASIL E DA REPÚBLICA PORTUGUESA
A VIDA INVISÍVEL,B1900366600000,06/08/2019,DEFERIDO,MAJORITÁRIA,ACORDO DE COPRODUÇÃO CINEMATOGRÁFICA BRASIL-ALEMANHA
A VOZ DO SILÊNCIO,B1800262800000,08/06/2018,DEFERIDO,MAJORITÁRIA,ACORDO LATINO-AMERICANO DE COPRODUÇÃO CINEMATOGRÁFICA
A ÚLTIMA FESTA,B2200343300000,12/09/2022,DEFERIDO,MAJORITÁRIA,ACORDO DE COPRODUÇÃO CINEMATOGRÁFICA ENTRE OS GOVERNOS DA REPÚBLICA FEDERATIVA DO BRASIL E DA REPÚBLICA PORTUGUESA
ABRIL BELGA - SEMPRE LOTADO (VÍDEO),B2400436100000,24/10/2024,DEFERIDO,MAJORITÁRIA,
ACHADOS E PERDIDOS,B0500323500000,12/08/2005,DEFERIDO,MAJORITÁRIA,ACORDO LATINO-AMERICANO DE COPRODUÇÃO CINEMATOGRÁFICA
AINDA ESTOU AQUI,B2400324700000,16/08/2024,DEFERIDO,MAJORITÁRIA,ACORDO DE COPRODUÇÃO CINEMATOGRÁFICA ENTRE O GOVERNO DA REPÚBLICA FEDERATIVA DO BRASIL E O GOVERNO DA REPÚBLICA FRANCESA
ALGUMA COISA ASSIM,B1700548300000,08/11/2017,DEFERIDO,MAJORITÁRIA,ACORDO DE COPRODUÇÃO CINEMATOGRÁFICA BRASIL-ALEMANHA
ALGUÉM COMO EU,B1800130000000,26/03/2018,DEFERIDO,MAJORITÁRIA,ACORDO DE COPRODUÇÃO CINEMATOGRÁFICA ENTRE OS GOVERNOS DA REPÚBLICA FEDERATIVA DO BRASIL E DA REPÚBLICA PORTUGUESA
ALMA DEL DESIERTO,B2400346300000,04/09/2024,DEFERIDO,MINORITÁRIA,ACORDO LATINO-AMERICANO DE COPRODUÇÃO CINEMATOGRÁFICA
AMAZON ADVENTURE,B1800223100000,22/05/2018,DEFERIDO,MINORITÁRIA,
AMAZÔNIA - A ÚLTIMA FRONTEIRA,B1201623800000,03/07/2012,DEFERIDO,MINORITÁRIA,ACORDO DE COPRODUÇÃO CINEMATOGRÁFICA ENTRE O GOVERNO DA REPÚBLICA FEDERATIVA DO BRASIL E O GOVERNO DA REPÚBLICA FRANCESA
AMAZÔNIA PLANETA VERDE,B1402080700000,30/01/2014,DEFERIDO,MINORITÁRIA,ACORDO DE COPRODUÇÃO CINEMATOGRÁFICA ENTRE O GOVERNO DA REPÚBLICA FEDERATIVA DO BRASIL E O GOVERNO DA REPÚBLICA FRANCESA
"AMENZE, ENTRE DOIS MUNDOS",B1600756400000,29/11/2016,DEFERIDO,MINORITÁRIA,
AMIGO SECRETO,B2200201200000,23/05/2022,DEFERIDO,MAJORITÁRIA,
AMO TE IMENSO,B2300526900000,23/11/2023,DEFERIDO,MINORITÁRIA,ACORDO DE COPRODUÇÃO CINEMATOGRÁFICA ENTRE OS GOVERNOS DA REPÚBLICA FEDERATIVA DO BRASIL E DA REPÚBLICA PORTUGUESA
AMOR REBELDE,B2300240900000,19/06/2023,DEFERIDO,MINORITÁRIA,ACORDO LATINO-AMERICANO DE COPRODUÇÃO CINEMATOGRÁFICA
AMORES CUBANOS,B2000207600000,27/05/2020,DEFERIDO,MAJORITÁRIA,
AMÉRICA,B1201604900000,29/05/2012,DEFERIDO,MINORITÁRIA,ACORDO DE COPRODUÇÃO CINEMATOGRÁFICA ENTRE OS GOVERNOS DA REPÚBLICA FEDERATIVA DO BRASIL E DA REPÚBLICA PORTUGUESA
ANA. SEM TITULO,B2000319700000,03/08/2020,DEFERIDO,MAJORITÁRIA,ACORDO LATINO-AMERICANO DE COPRODUÇÃO CINEMATOGRÁFICA
ANGIE,B1301759600000,06/03/2013,DEFERIDO,MAJORITÁRIA,
"ANHANGÁ, ESPÍRITO DA AMAZÔNIA",B1500793500000,19/10/2015,DEFERIDO,MAJORITÁRIA,
ANOTHER FOREVER,B1700048800000,31/01/2017,DEFERIDO,MAJORITÁRIA,
AOS NOSSOS FILHOS,B2100115300000,17/03/2021,DEFERIDO,MAJORITÁRIA,ACORDO DE COPRODUÇÃO CINEMATOGRÁFICA ENTRE O GOVERNO DA REPÚBLICA FEDERATIVA DO BRASIL E O GOVERNO DA REPÚBLICA FRANCESA
APOCALIPSE NOS TRÓPICOS,B2400357100000,10/09/2024,DEFERIDO,MAJORITÁRIA,
AQUARIUS,B1600478600000,26/07/2016,DEFERIDO,MAJORITÁRIA,
AQUI TEM HISTÓRIA,B2200312300000,19/08/2022,DEFERIDO,MAJORITÁRIA,
